"i","value"
491,1.1116454990445692e-30
492,1.0473948486636055e-30
493,9.7065451852887449e-31
494,8.9584905467818511e-31
495,8.3087127150864782e-31
496,7.7759256654562765e-31
497,7.4109669149328074e-31
498,7.1594209954436519e-31
499,6.920866374893628e-31
500,6.6230408354154551e-31
501,6.2290728751954732e-31
502,5.753001286013646e-31
503,5.2909781745423383e-31
504,4.8968041115655577e-31
505,4.5418870294744519e-31
506,4.2119353620264552e-31
507,3.892433450936201e-31
508,3.5563423704038629e-31
509,3.1971423524090971e-31
510,2.8312413309030112e-31
511,2.4678378031063628e-31
512,2.1138238386519025e-31
513,1.7964133302667824e-31
514,1.5395646889366994e-31
515,1.3459395268312718e-31
516,1.2046522284026516e-31
517,1.1034939811397434e-31
518,1.0300375424723636e-31
519,9.6979219624160559e-32
520,9.1055452086905685e-32
521,8.4716311622587987e-32
522,7.7968634295148367e-32
523,7.1267104950926669e-32
524,6.537849366949331e-32
525,6.0718299562906664e-32
526,5.7483541745839602e-32
527,5.5529055036736571e-32
528,5.4532896130396686e-32
529,5.4284074468575404e-32
530,5.46614805846117e-32
531,5.554586880806626e-32
532,5.6866263874113638e-32
533,5.8493431166651258e-32
534,6.0377009796214915e-32
535,6.2525459632418948e-32
536,6.4896533443374493e-32
537,6.7311481833944775e-32
538,6.9559089371474984e-32
539,7.1494672134149179e-32
540,7.3011332503243345e-32
541,7.403561312852768e-32
542,7.446728247125371e-32
543,7.4249495026045649e-32
544,7.3422779923422444e-32
545,7.2126502496128919e-32
546,7.0676532199629131e-32
547,6.9465337036626061e-32
548,6.8781780620083964e-32
549,6.8786406192604913e-32
550,6.9525807279099254e-32
551,7.0937958181817661e-32
552,7.2943370916560747e-32
553,7.5336996536142428e-32
554,7.7918756909163541e-32
555,8.0647262748317867e-32
556,8.372428533221605e-32
557,8.7640083260472227e-32
558,9.3749024348872804e-32
559,1.0405890980298693e-31
560,1.2091271168001782e-31
561,1.4603119738230295e-31
562,1.8193269955486605e-31
563,2.3084000373237736e-31
564,2.9578593473332106e-31
565,3.7653156696193081e-31
566,4.7128715553340613e-31
567,5.8022442087521797e-31
568,6.9620250473143388e-31
569,8.075761283711618e-31
570,9.1102726327708386e-31
571,1.0083916580860205e-30
572,1.1175216788655313e-30
573,1.2531124752060865e-30
574,1.4078374373869187e-30
575,1.5623899663549029e-30
576,1.6916054446480005e-30
577,1.7693006288652287e-30
578,1.8071101821398291e-30
579,1.8640837271230236e-30
580,1.9836879432258419e-30
581,2.2251452472995386e-30
582,2.6619527602754849e-30
583,3.3236217558678444e-30
584,4.0093014674969417e-30
585,4.4956797879097635e-30
586,4.7926089459427238e-30
587,5.0499083833970917e-30
588,5.2771171171231693e-30
589,5.2377554464376578e-30
590,5.1700275085564749e-30
591,5.4600303464308595e-30
592,5.9217311067247544e-30
593,6.2926467945578088e-30
594,6.6159585497051515e-30
595,7.0665164584817944e-30
596,7.3233657680157184e-30
597,7.1464814395990467e-30
598,6.9730175459850983e-30
599,6.930427734654576e-30
600,6.2651589351085201e-30
601,5.6049076792426728e-30
602,6.7581101837058142e-30
603,9.4759604871505387e-30
604,1.0835456698350865e-29
605,1.0052977839172885e-29
606,9.440209499113102e-30
607,9.7185192814819457e-30
608,9.7307734096990001e-30
609,8.7188344172254515e-30
610,7.2130671949951165e-30
611,6.0346374556697788e-30
612,5.3671185476008881e-30
613,4.8133804996649162e-30
614,4.2487455488655399e-30
615,3.738584918015466e-30
616,3.2819447504277328e-30
617,2.8194757832840067e-30
618,2.3281650141545767e-30
619,1.866904696837671e-30
620,1.524746893006153e-30
621,1.3126714454351355e-30
622,1.1755553940419026e-30
623,1.0764510796389916e-30
624,9.8979431171515247e-31
625,9.0866321629879502e-31
626,8.2992381804464031e-31
627,7.6292827675129234e-31
628,7.0590887057367503e-31
629,6.6363056627611852e-31
630,6.3497598982081157e-31
631,6.1885740156074745e-31
632,6.1507843638227936e-31
633,6.2005018302279488e-31
634,6.2906548929584572e-31
635,6.3367921254808081e-31
636,6.2335079257039786e-31
637,5.9104397066717041e-31
638,5.3438387198825169e-31
639,4.5828497758400864e-31
640,3.749871731582144e-31
641,2.9621393968471607e-31
642,2.3178864011732053e-31
643,1.8652773951297025e-31
644,1.6120258904066691e-31
645,1.5268361032104466e-31
646,1.5729938449664866e-31
647,1.7100525689290688e-31
648,1.9020363934111976e-31
649,2.1241933365270768e-31
650,2.3709236587209519e-31
651,2.6300665772055014e-31
652,2.8942855338590547e-31
653,3.1652326335874859e-31
654,3.4473322763017922e-31
655,3.7366329453179483e-31
656,4.023067473263373e-31
657,4.2972970337871271e-31
658,4.5381254535794035e-31
659,4.7170233923023333e-31
660,4.8148375437518857e-31
661,4.8341740994121955e-31
662,4.7876405009839169e-31
663,4.6855527751881418e-31
664,4.5302145733996116e-31
665,4.3255355294413916e-31
666,4.0884192222105622e-31
667,3.8235240281704676e-31
668,3.5389591213058264e-31
669,3.2530118726955023e-31
670,2.9849380886149563e-31
671,2.7557282456526773e-31
672,2.5750570052993708e-31
673,2.4359752084107118e-31
674,2.3225566674865028e-31
675,2.2216729215665544e-31
676,2.125720311229447e-31
677,2.0352052898150591e-31
678,1.9606383700705214e-31
679,1.9066651124903071e-31
680,1.8705241978015036e-31
681,1.8480674760757347e-31
682,1.8328319414360978e-31
683,1.8163542650622994e-31
684,1.7898473251842235e-31
685,1.7488659087199534e-31
686,1.6939229158635747e-31
687,1.6268358708323555e-31
688,1.5483774281267544e-31
689,1.4602079926525872e-31
690,1.3665316710347516e-31
691,1.2740892354935124e-31
692,1.1885257837879808e-31
693,1.1115541836479752e-31
694,1.0452029650510445e-31
695,9.921518449627124e-32
696,9.5410542883613039e-32
697,9.3004343143599579e-32
698,9.1763997557773936e-32
699,9.1304607621212942e-32
700,9.1238379554442405e-32
701,9.1171292776072998e-32
702,9.0730474479692093e-32
703,8.9594073054675627e-32
704,8.7565531078577559e-32
705,8.4688828190867196e-32
706,8.1064196263451994e-32
707,7.6886228123029138e-32
708,7.249769138423138e-32
709,6.8270908567159593e-32
710,6.4435406402759564e-32
711,6.1098473385936703e-32
712,5.8328754012245949e-32
713,5.6169196074634008e-32
714,5.4641980802506244e-32
715,5.375992573715007e-32
716,5.348609478100059e-32
717,5.3787796061810335e-32
718,5.4626379104264661e-32
719,5.5977433889162386e-32
720,5.7798869394623394e-32
721,5.9988897614132598e-32
722,6.2370697145010469e-32
723,6.4761639867095128e-32
724,6.6964480200437448e-32
725,6.8759179254641299e-32
726,6.9938819822642118e-32
727,7.0354836529374443e-32
728,6.993042299915222e-32
729,6.8661815749172871e-32
730,6.6592444546167091e-32
731,6.3832888034505792e-32
732,6.0558505458242471e-32
733,5.6978242595031021e-32
734,5.329051307635295e-32
735,4.9694199411698167e-32
736,4.6356042395482242e-32
737,4.3396154198006267e-32
738,4.0900912848508165e-32
739,3.8914673513453963e-32
740,3.7457694451174614e-32
741,3.6493030877281092e-32
742,3.5938013921087996e-32
743,3.5672015227550573e-32
744,3.5570456725879912e-32
745,3.553391614685927e-32
746,3.5477320470890871e-32
747,3.5347450170482398e-32
748,3.5110757907415421e-32
749,3.473675140276351e-32
750,3.4207812100649803e-32
751,3.3528433233553229e-32
752,3.2718897501628302e-32
753,3.1817267217560464e-32
754,3.08705270397779e-32
755,2.9913033807053534e-32
756,2.8959856425144831e-32
757,2.8023734495375513e-32
758,2.7124412489113727e-32
759,2.6279778524054205e-32
760,2.5503254199083615e-32
761,2.4799372908423042e-32
762,2.417006190821591e-32
763,2.3614442303654898e-32
764,2.3121899165119575e-32
765,2.2676479491268715e-32
766,2.2263692702566676e-32
767,2.1863337255781314e-32
768,2.1461265632671562e-32
769,2.1053679198814172e-32
770,2.063978736165058e-32
771,2.0219389926882451e-32
772,1.9793135799697577e-32
773,1.9363347349684117e-32
774,1.8937189887309049e-32
775,1.8524677610647062e-32
776,1.8137812766727558e-32
777,1.7790606314699656e-32
778,1.7494881737157485e-32
779,1.7263366271269824e-32
780,1.7112351793135233e-32
781,1.7050318804049082e-32
782,1.7079506984052333e-32
783,1.720095206225339e-32
784,1.7411936350187431e-32
785,1.7702693908465119e-32
786,1.805850271855051e-32
787,1.8455708337301225e-32
788,1.8869932713789093e-32
789,1.9284162086301777e-32
790,1.9692149750779457e-32
791,2.0091999811051484e-32
792,2.0488668721650353e-32
793,2.0889361445913222e-32
794,2.1300675673153948e-32
795,2.1728331920758159e-32
796,2.2177291042403351e-32
797,2.2654080066515729e-32
798,2.3174906705169636e-32
799,2.3753567277594744e-32
800,2.4404539691128761e-32
801,2.5151306586581395e-32
802,2.6012509146683752e-32
803,2.6995165381640164e-32
804,2.8094991242817542e-32
805,2.9290753481825682e-32
806,3.0560242340029789e-32
807,3.188434080037684e-32
808,3.3249004842618143e-32
809,3.4634498806517647e-32
810,3.600996356569362e-32
811,3.7353582246528403e-32
812,3.8644463869484891e-32
813,3.9860565684510296e-32
814,4.0985022526435649e-32
815,4.2014741859006199e-32
816,4.2956047008262617e-32
817,4.3825791118633651e-32
818,4.4642404703051369e-32
819,4.5407357727755389e-32
820,4.6132349635058041e-32
821,4.6839982180316839e-32
822,4.7555578690920372e-32
823,4.8289711812271549e-32
824,4.9039458333948535e-32
825,4.9772610436092802e-32
826,5.0449665040304347e-32
827,5.1030938242447964e-32
828,5.1491787896816902e-32
829,5.1818198044275651e-32
830,5.1993471529204885e-32
831,5.1999021507975737e-32
832,5.1804538677264482e-32
833,5.1374098031346712e-32
834,5.0683490814187538e-32
835,4.9730704360291393e-32
836,4.8528395757795912e-32
837,4.70983080322612e-32
838,4.5481137678815816e-32
839,4.3724234118812808e-32
840,4.1860933892509494e-32
841,3.9921227122872975e-32
842,3.7934986065075453e-32
843,3.5940001454570559e-32
844,3.3982515900552149e-32
845,3.2112382116351088e-32
846,3.0348827203249374e-32
847,2.8700048423160075e-32
848,2.7167093585012178e-32
849,2.5749538002547205e-32
850,2.4455822259770007e-32
851,2.3299331545649417e-32
852,2.2287846853813577e-32
853,2.1425104830313406e-32
854,2.0700103100914769e-32
855,2.0095123513331053e-32
856,1.9591303722857031e-32
857,1.9174765889955232e-32
858,1.8836571711618942e-32
859,1.8559968826517254e-32
860,1.8332930911588747e-32
861,1.814778642059632e-32
862,1.8000281301091224e-32
863,1.7884151686832629e-32
864,1.7791915192870134e-32
865,1.7716688423518562e-32
866,1.7652082568842147e-32
867,1.7591788030077959e-32
868,1.7531538342015763e-32
869,1.7473051256816269e-32
870,1.7425744777442004e-32
871,1.7402034469541376e-32
872,1.7409672243224754e-32
873,1.7450052822825801e-32
874,1.7520953905434385e-32
875,1.7613890515133656e-32
876,1.7717191275631392e-32
877,1.7817844574075536e-32
878,1.7906075096250104e-32
879,1.7976032971903578e-32
880,1.8026092096737308e-32
881,1.8059361173497023e-32
882,1.8084286751727023e-32
883,1.811020622312531e-32
884,1.8141414892192869e-32
885,1.8180976551319633e-32
886,1.8232006275058384e-32
887,1.8296067796769762e-32
888,1.8373024222095546e-32
889,1.8464377176155056e-32
890,1.8575789995892678e-32
891,1.8714334954501424e-32
892,1.8883010228365392e-32
893,1.9080345651965631e-32
894,1.9301197015459935e-32
895,1.953657763251644e-32
896,1.9775217534710026e-32
897,2.0005165780096168e-32
898,2.0212697988002434e-32
899,2.0388730641535273e-32
900,2.0529938714920591e-32
901,2.0636696834580769e-32
902,2.0708084779955658e-32
903,2.0743937930480921e-32
904,2.0745206882901194e-32
905,2.0715834358866641e-32
906,2.066190302495223e-32
907,2.0592964645349348e-32
908,2.0520779641847582e-32
909,2.0456196683292444e-32
910,2.0407041604960582e-32
911,2.0382957744170042e-32
912,2.0394243116600815e-32
913,2.0447494434680281e-32
914,2.0545798440061261e-32
